%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1510335113852949674,2639,1510335113852654197,/lla,0,1,41.5166426611,-81.5491264912,294.7637301,0.0779566105007,0.0,0.0,0.0,0.0615385408685,0.0,0.0,0.0,0.0901330044158,0
1510335114854065037,2640,1510335114853788751,/lla,0,1,41.516641423,-81.5490870077,294.738600112,0.0734099886227,0.0,0.0,0.0,0.0582719832472,0.0,0.0,0.0,0.0851007513526,0
1510335115853378078,2641,1510335115853216864,/lla,0,1,41.5166578393,-81.5490553675,294.639707423,0.0739972704314,0.0,0.0,0.0,0.0587381581209,0.0,0.0,0.0,0.0857815566023,0
1510335116851773230,2642,1510335116851461958,/lla,0,1,41.5166836688,-81.5490431946,294.624760628,0.074584547956,0.0,0.0,0.0,0.0592043338741,0.0,0.0,0.0,0.0864623576123,0
1510335117853799710,2643,1510335117853584102,/lla,0,1,41.5167097185,-81.5490527016,294.596773008,0.0751718424823,0.0,0.0,0.0,0.0596705103778,0.0,0.0,0.0,0.0871431750193,0
1510335118852508354,2644,1510335118852331071,/lla,0,1,41.516728661,-81.5490836775,294.599675328,0.0757591105481,0.0,0.0,0.0,0.0601366806222,0.0,0.0,0.0,0.0878239774198,0
1510335119856864887,2645,1510335119856663695,/lla,0,1,41.5167282168,-81.5491269484,294.740903697,0.0763463908898,0.0,0.0,0.0,0.0606028599191,0.0,0.0,0.0,0.0885047867299,0
1510335120856780758,2646,1510335120856542657,/lla,0,1,41.5167052026,-81.5491595338,294.798283058,0.0718811061608,0.0,0.0,0.0,0.0573106616629,0.0,0.0,0.0,0.0833480768607,0
1510335121853786116,2647,1510335121853474257,/lla,0,1,41.5166731685,-81.5491637586,294.821573865,0.0724561555693,0.0,0.0,0.0,0.0577691434997,0.0,0.0,0.0,0.0840148518188,0
1510335122852228326,2648,1510335122851953780,/lla,0,1,41.5166471954,-81.5491398523,294.801637155,0.0730312087069,0.0,0.0,0.0,0.0582276325073,0.0,0.0,0.0,0.0846816467598,0
1510335123856265576,2649,1510335123856056769,/lla,0,1,41.5166392234,-81.549094226,294.773846203,0.0736062546759,0.0,0.0,0.0,0.0586861143734,0.0,0.0,0.0,0.0853484304826,0
1510335124854129830,2650,1510335124853985093,/lla,0,1,41.5166584221,-81.549052787,294.691374688,0.0741812991719,0.0,0.0,0.0,0.0591445967271,0.0,0.0,0.0,0.0860152068714,0
